camp_id,location,max_capacity,specific_needs,allocatedresources,volunteers,volunteer_id,refugees,refugeeID,planname,current_availability
6,London,500,Medical Aid,"{'ResourcesAllocated': '0', 'Medical Aid': 5, 'Medical Supplies': 3}",50,[],90,[],EarthQuake,33
5,New York,600,Food Packets,"{'Food Packets': 5, 'Clothing': 3}",70,[],88,[],Tsunami,45
10,,,,,,[],,[],,
7,,,,,,[],,[],,
13,,,,,,[],,[],,
8,,,,,,[],,[],,
4,,,,,,[],,[],,
3,,,,,,[],,[],,
9,,,,,,[],,[],,
11,,,,,,[],,[],,
12,,,,,,[],,[],,
2,,,,,,[],,[],,
1,,,,,,[],,[],,
19,United States,,,,,[],,[],,
20,Algeria,,,,,[],,[],,
21,Andorra,,,,,[],,[],,
22,Andorra,,,,,[],,[],,
23,Angola,,,,,[],,[],,
24,Anguilla,,,,,[],,[],,
14,,,,,,[],,[],,
16,,,,,,[],,[],,
17,,,,,,[],,[],,
15,,,,,,[],,[],,
18,,,,,,[],,[],,
