camp_id,location,volunteers_number,refugees_number,plan_name,current_availability,max_capacity,specific_needs,allocated_resources
1,London,6.0,7.0,plan1,47.0,100.0,MedicalAid,"{'MedicalAid': 3, 'Water Bottles': 5, 'Clothing': 5, 'Tents': 3, 'Blankets': 5, 'Food Packets': 20}"
2,,,,,,,,{}
3,,,,,,,,{}
4,,,,,,,,{}
5,,,,,,,,{}
6,,,,,,,,{}
7,,,,,,,,{}
8,,,,,,,,{}
9,,,,,,,,{}
10,,,,,,,,{}
11,,,,,,,,{}
12,,,,,,,,{}
13,,,,,,,,{}
14,,,,,,,,{}
15,,,,,,,,{}
16,,,,,,,,{'Tents': 2}
17,,,,,,,,{}
18,,,,,,,,{}
19,,,,,,,,{}
20,,,,,,,,{}
21,,,,,,,,{}
22,,,,,,,,{}
23,,,,,,,,{}
24,,,,,,,,{}
25,,,,,,,,{}
26,,,,,,,,{}
27,,,,,,,,{}
28,,,,,,,,{}
29,,,,,,,,{}
30,,,,,,,,{}
31,,,,,,,,{}
32,,,,,,,,{}
33,,,,,,,,{}
34,,,,,,,,{}
35,,,,,,,,{}
36,,,,,,,,{}
37,,,,,,,,{}
38,,,,,,,,{}
39,hi,,,,,,,{}
40,,,,,,,,{}
41,United States,7.0,8.0,plan2,67.0,200.0,FoodPackets,"{'MedicalAid': 3, 'Food Packets': 20, 'Blankets': 5, 'Clothing': 10, 'Tents': 4}"
42,United States,,,,,,,{}
43,Albania,50.0,,,,,,{}
44,Congo,,,,,,,{}
45,Netherlands,,,,,,,{'Tents': 2}
46,United States,,,,,,,{}
47,Indonesia,,,"Response to Eruption in West Sumatra
",,,,{}
48,Zambia,,,"Response to Flood in Zambia
",,,,{}
49,North Korea,,,"Test	
",,,,{}
50,North Korea,,,"Test	
",,,,{}
